x	y	u(x,y)
0.00000	0.49020	0.75009608
0.00000	0.49412	0.75003457
0.00000	0.49804	0.75000381
0.00000	0.50196	0.75000381
0.00000	0.50588	0.75003457
0.00000	0.50980	0.75009608
0.00000	0.51373	0.75018835
0.00000	0.51765	0.75031143
0.00000	0.52157	0.75046521
0.00000	0.52549	0.75064975
0.00000	0.52941	0.75086504
0.00000	0.53333	0.75111115
0.00000	0.53725	0.75138795
0.00000	0.54118	0.75169551
0.00000	0.54510	0.75203383
0.00000	0.54902	0.75240290
0.00000	0.55294	0.75280273
0.00000	0.55686	0.75323337
0.00000	0.56078	0.75369477
0.00000	0.56471	0.75418687
0.00000	0.56863	0.75470972
0.00000	0.57255	0.75526333
0.00000	0.57647	0.75584775
0.00000	0.58039	0.75646293
0.00000	0.58431	0.75710881
0.00000	0.58824	0.75778544
0.00000	0.59216	0.75849289
0.00000	0.59608	0.75923109
0.00000	0.60000	0.75999999
0.00000	0.60392	0.76079971
0.00000	0.60784	0.76163018
0.00000	0.61176	0.76249135
0.00000	0.61569	0.76338333
0.00000	0.61961	0.76430607
0.00000	0.62353	0.76525950
0.00000	0.62745	0.76624376
0.00000	0.63137	0.76725876
0.00000	0.63529	0.76830447
0.00000	0.63922	0.76938105
0.00000	0.64314	0.77048826
0.00000	0.64706	0.77162629
0.00000	0.65098	0.77279508
0.00000	0.65490	0.77399462
0.00000	0.65882	0.77522492
0.00000	0.66275	0.77648598
0.00000	0.66667	0.77777779
0.00000	0.67059	0.77910036
0.00000	0.67451	0.78045368
0.00000	0.67843	0.78183776
0.00000	0.68235	0.78325260
0.00000	0.68627	0.78469819
0.00000	0.69020	0.78617454
0.00000	0.69412	0.78768170
0.00000	0.69804	0.78921950
0.00000	0.70196	0.79078817
0.00000	0.70588	0.79238755
0.00000	0.70980	0.79401767
0.00000	0.71373	0.79567862
0.00000	0.71765	0.79737025
0.00000	0.72157	0.79909265
0.00000	0.72549	0.80084586
0.00000	0.72941	0.80262977
0.00000	0.73333	0.80444443
0.00000	0.73725	0.80628991
0.00000	0.74118	0.80816609
0.00000	0.74510	0.81007308
0.00000	0.74902	0.81201077
0.00000	0.75294	0.81397927
0.00000	0.75686	0.81597847
0.00000	0.76078	0.81800848
0.00000	0.76471	0.82006919
0.00000	0.76863	0.82216072
0.00000	0.77255	0.82428300
0.00000	0.77647	0.82643598
0.00000	0.78039	0.82861978
0.00000	0.78431	0.83083433
0.00000	0.78824	0.83307958
0.00000	0.79216	0.83535564
0.00000	0.79608	0.83766246
0.00000	0.80000	0.84000003
0.00000	0.80392	0.84236830
0.00000	0.80784	0.84476739
0.00000	0.81176	0.84719723
0.00000	0.81569	0.84965783
0.00000	0.81961	0.85214919
0.00000	0.82353	0.85467130
0.00000	0.82745	0.85722417
0.00000	0.83137	0.85980779
0.00000	0.83529	0.86242217
0.00000	0.83922	0.86506730
0.00000	0.84314	0.86774319
0.00000	0.84706	0.87044984
0.00000	0.85098	0.87318724
0.00000	0.85490	0.87595540
0.00000	0.85882	0.87875432
0.00000	0.86275	0.88158399
0.00000	0.86667	0.88444448
0.00000	0.87059	0.88733566
0.00000	0.87451	0.89025760
0.00000	0.87843	0.89321029
0.00000	0.88235	0.89619380
0.00000	0.88627	0.89920801
0.00000	0.89020	0.90225297
0.00000	0.89412	0.90532875
0.00000	0.89804	0.90843523
0.00000	0.90196	0.91157246
0.00000	0.90588	0.91474050
0.00000	0.90980	0.91793925
0.00000	0.91373	0.92116880
0.00000	0.91765	0.92442906
0.00000	0.92157	0.92772013
0.00000	0.92549	0.93104190
0.00000	0.92941	0.93439448
0.00000	0.93333	0.93777776
0.00000	0.93725	0.94119185
0.00000	0.94118	0.94463670
0.00000	0.94510	0.94811225
0.00000	0.94902	0.95161861
0.00000	0.95294	0.95515573
0.00000	0.95686	0.95872355
0.00000	0.96078	0.96232218
0.00000	0.96471	0.96595156
0.00000	0.96863	0.96961170
0.00000	0.97255	0.97330260
0.00000	0.97647	0.97702420
0.00000	0.98039	0.98077661
0.00000	0.98431	0.98455977
0.00000	0.98824	0.98837370
0.00000	0.99216	0.99221838
0.00000	0.99608	0.99609381
0.00000	1.00000	1.00000000
0.00392	0.00000	0.99609381
0.00392	0.00392	0.99220258
0.00392	0.00784	0.98834199
0.00392	0.01176	0.98451215
0.00392	0.01569	0.98071283
0.00392	0.01961	0.97694427
0.00392	0.02353	0.97320622
0.00392	0.02745	0.96949893
0.00392	0.03137	0.96582228
0.00392	0.03529	0.96217632
0.00392	0.03922	0.95856094
0.00392	0.04314	0.95497626
0.00392	0.04706	0.95142215
0.00392	0.05098	0.94789869
0.00392	0.05490	0.94440585
0.00392	0.05882	0.94094372
0.00392	0.06275	0.93751222
0.00392	0.06667	0.93411130
0.00392	0.07059	0.93074101
0.00392	0.07451	0.92740136
0.00392	0.07843	0.92409241
0.00392	0.08235	0.92081404
0.00392	0.08627	0.91756642
0.00392	0.09020	0.91434926
0.00392	0.09412	0.91116285
0.00392	0.09804	0.90800709
0.00392	0.10196	0.90488195
0.00392	0.10588	0.90178746
0.00392	0.10980	0.89872354
0.00392	0.11373	0.89569026
0.00392	0.11765	0.89268768
0.00392	0.12157	0.88971579
0.00392	0.12549	0.88677442
0.00392	0.12941	0.88386375
0.00392	0.13333	0.88098365
0.00392	0.13725	0.87813425
0.00392	0.14118	0.87531549
0.00392	0.14510	0.87252742
0.00392	0.14902	0.86976999
0.00392	0.15294	0.86704314
0.00392	0.15686	0.86434698
0.00392	0.16078	0.86168134
0.00392	0.16471	0.85904640
0.00392	0.16863	0.85644215
0.00392	0.17255	0.85386848
0.00392	0.17647	0.85132545
0.00392	0.18039	0.84881318
0.00392	0.18431	0.84633136
0.00392	0.18824	0.84388030
0.00392	0.19216	0.84145987
0.00392	0.19608	0.83907002
0.00392	0.20000	0.83671087
0.00392	0.20392	0.83438230
0.00392	0.20784	0.83208442
0.00392	0.21176	0.82981712
0.00392	0.21569	0.82758051
0.00392	0.21961	0.82537454
0.00392	0.22353	0.82319921
0.00392	0.22745	0.82105440
0.00392	0.23137	0.81894028
0.00392	0.23529	0.81685686
0.00392	0.23922	0.81480408
0.00392	0.24314	0.81278187
0.00392	0.24706	0.81079036
0.00392	0.25098	0.80882949
0.00392	0.25490	0.80689925
0.00392	0.25882	0.80499965
